,날짜,역명,합 계_승차,합 계_하차
309,2015-06-04,올림픽공원,6458.0,5966.0
310,2015-06-05,디지털미디어시티,17652.0,18888.0
311,2015-06-05,올림픽공원,5969.0,5426.0
312,2015-06-06,디지털미디어시티,9366.0,9532.0
313,2015-06-06,올림픽공원,5154.0,5080.0
314,2015-06-07,디지털미디어시티,7171.0,7564.0
315,2015-06-07,올림픽공원,2996.0,3063.0
316,2015-06-08,디지털미디어시티,17102.0,18645.0
317,2015-06-08,올림픽공원,5815.0,5663.0
318,2015-06-09,디지털미디어시티,16871.0,18898.0
319,2015-06-09,올림픽공원,5979.0,5662.0
320,2015-06-10,디지털미디어시티,16887.0,18664.0
321,2015-06-10,올림픽공원,5803.0,5501.0
322,2015-06-11,디지털미디어시티,16600.0,18477.0
323,2015-06-11,올림픽공원,5554.0,5203.0
324,2015-06-12,디지털미디어시티,17410.0,18479.0
325,2015-06-12,올림픽공원,6000.0,5554.0
326,2015-06-13,디지털미디어시티,10574.0,11130.0
327,2015-06-13,올림픽공원,10681.0,10352.0
328,2015-06-14,디지털미디어시티,6900.0,7111.0
329,2015-06-14,올림픽공원,9239.0,9129.0
330,2015-06-15,디지털미디어시티,16797.0,18287.0
331,2015-06-15,올림픽공원,5850.0,5676.0
332,2015-06-16,디지털미디어시티,17129.0,18884.0
333,2015-06-16,올림픽공원,5814.0,5554.0
334,2015-06-17,디지털미디어시티,16714.0,18535.0
335,2015-06-17,올림픽공원,5695.0,5382.0
336,2015-06-18,디지털미디어시티,16720.0,18551.0
337,2015-06-18,올림픽공원,5679.0,5299.0
338,2015-06-19,디지털미디어시티,17236.0,18559.0
339,2015-06-19,올림픽공원,7784.0,6641.0
340,2015-06-20,디지털미디어시티,9881.0,9545.0
341,2015-06-20,올림픽공원,3310.0,3014.0
342,2015-06-21,디지털미디어시티,7842.0,8361.0
343,2015-06-21,올림픽공원,3213.0,3093.0
344,2015-06-22,디지털미디어시티,16943.0,18599.0
345,2015-06-22,올림픽공원,5477.0,5155.0
346,2015-06-23,디지털미디어시티,17382.0,19291.0
347,2015-06-23,올림픽공원,5658.0,5135.0
348,2015-06-24,디지털미디어시티,17043.0,18840.0
349,2015-06-24,올림픽공원,6869.0,6330.0
350,2015-06-25,디지털미디어시티,16950.0,18936.0
351,2015-06-25,올림픽공원,6464.0,6151.0
352,2015-06-26,디지털미디어시티,17410.0,18756.0
353,2015-06-26,올림픽공원,5559.0,4826.0
354,2015-06-27,디지털미디어시티,10991.0,10743.0
355,2015-06-27,올림픽공원,7932.0,8075.0
356,2015-06-28,디지털미디어시티,7548.0,7889.0
357,2015-06-28,올림픽공원,6167.0,6251.0
358,2015-06-29,디지털미디어시티,17060.0,18685.0
359,2015-06-29,올림픽공원,5577.0,5287.0
360,2015-06-30,디지털미디어시티,16929.0,19005.0
361,2015-06-30,올림픽공원,5666.0,5341.0
362,2015-07-01,디지털미디어시티,17270.0,18824.0
363,2015-07-01,올림픽공원,6386.0,5523.0
364,2015-07-02,디지털미디어시티,17019.0,18726.0
365,2015-07-02,올림픽공원,5720.0,5123.0
366,2015-07-03,디지털미디어시티,17684.0,18972.0
367,2015-07-03,올림픽공원,5886.0,5186.0
368,2015-07-04,디지털미디어시티,10721.0,10855.0
369,2015-07-04,올림픽공원,5767.0,5706.0
370,2015-07-05,디지털미디어시티,7514.0,7819.0
371,2015-07-05,올림픽공원,3629.0,3535.0
372,2015-07-06,디지털미디어시티,17567.0,18996.0
373,2015-07-06,올림픽공원,5685.0,5313.0
374,2015-07-07,디지털미디어시티,17119.0,19216.0
375,2015-07-07,올림픽공원,5946.0,5456.0
376,2015-07-08,디지털미디어시티,17228.0,18931.0
377,2015-07-08,올림픽공원,5904.0,5293.0
378,2015-07-09,디지털미디어시티,17133.0,19032.0
379,2015-07-09,올림픽공원,6218.0,5585.0
380,2015-07-10,디지털미디어시티,17920.0,19362.0
381,2015-07-10,올림픽공원,6951.0,6281.0
382,2015-07-11,디지털미디어시티,10727.0,10977.0
383,2015-07-11,올림픽공원,11038.0,10964.0
384,2015-07-12,디지털미디어시티,6517.0,7036.0
385,2015-07-12,올림픽공원,9812.0,9927.0
386,2015-07-13,디지털미디어시티,17013.0,18591.0
387,2015-07-13,올림픽공원,7159.0,6990.0
388,2015-07-14,디지털미디어시티,17494.0,19274.0
389,2015-07-14,올림픽공원,5798.0,5308.0
390,2015-07-15,디지털미디어시티,17569.0,19685.0
391,2015-07-15,올림픽공원,6055.0,5543.0
392,2015-07-16,디지털미디어시티,17311.0,19553.0
393,2015-07-16,올림픽공원,5801.0,5345.0
394,2015-07-17,디지털미디어시티,18056.0,19489.0
395,2015-07-17,올림픽공원,6126.0,5425.0
396,2015-07-18,디지털미디어시티,10874.0,10649.0
397,2015-07-18,올림픽공원,5852.0,5818.0
398,2015-07-19,디지털미디어시티,7422.0,7920.0
399,2015-07-19,올림픽공원,4507.0,4507.0
400,2015-07-20,디지털미디어시티,17176.0,18806.0
401,2015-07-20,올림픽공원,5752.0,5563.0
402,2015-07-21,디지털미디어시티,16954.0,18914.0
403,2015-07-21,올림픽공원,5488.0,5203.0
404,2015-07-22,디지털미디어시티,17240.0,18818.0
405,2015-07-22,올림픽공원,5458.0,5065.0
406,2015-07-23,디지털미디어시티,16624.0,18685.0
407,2015-07-23,올림픽공원,5383.0,5242.0
408,2015-07-24,디지털미디어시티,17118.0,18156.0
409,2015-07-24,올림픽공원,5227.0,4613.0
410,2015-07-25,디지털미디어시티,9439.0,9720.0
411,2015-07-25,올림픽공원,10325.0,10910.0
412,2015-07-26,디지털미디어시티,7532.0,7500.0
413,2015-07-26,올림픽공원,3020.0,2900.0
414,2015-07-27,디지털미디어시티,16435.0,18007.0
415,2015-07-27,올림픽공원,5962.0,5570.0
416,2015-07-28,디지털미디어시티,16517.0,18233.0
417,2015-07-28,올림픽공원,5466.0,5037.0
418,2015-07-29,디지털미디어시티,16117.0,17775.0
